model,confidence_threshold,neighbor_offset,frame_id,quality_group,gt_index,class_id,class_name,raw_detected,raw_confidence,gaussian_detected,gaussian_confidence,bilateral_detected,bilateral_confidence,wiener_denoise_detected,wiener_denoise_confidence,wiener_deconv_detected,wiener_deconv_confidence,clahe_detected,clahe_confidence,temporal_fixed_detected,temporal_fixed_confidence,temporal_quality_weighted_detected,temporal_quality_weighted_confidence,any_method_detected,num_methods_detecting,detected_by,unique_rescuer
yolov8n.pt,0.15,1,video2/v02_20-18_f00037_t01.23_moderate_blur,moderate_blur,1,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video2/v02_20-18_f00037_t01.23_moderate_blur,moderate_blur,2,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video2/v02_20-18_f00037_t01.23_moderate_blur,moderate_blur,3,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video2/v02_20-18_f00037_t01.23_moderate_blur,moderate_blur,4,60,dining table,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video2/v02_20-18_f00037_t01.23_moderate_blur,moderate_blur,5,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video2/v02_20-18_f00113_t03.77_clear,clear,0,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video2/v02_20-18_f00113_t03.77_clear,clear,1,60,dining table,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video2/v02_20-18_f00151_t05.03_moderate_blur,moderate_blur,0,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video2/v02_20-18_f00151_t05.03_moderate_blur,moderate_blur,1,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video2/v02_20-18_f00151_t05.03_moderate_blur,moderate_blur,2,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video2/v02_20-18_f00151_t05.03_moderate_blur,moderate_blur,3,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video2/v02_20-18_f00151_t05.03_moderate_blur,moderate_blur,4,60,dining table,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video2/v02_20-18_f00189_t06.30_severe_blur,severe_blur,0,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video2/v02_20-18_f00189_t06.30_severe_blur,severe_blur,1,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video2/v02_20-18_f00264_t08.80_moderate_blur,moderate_blur,0,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video2/v02_20-18_f00264_t08.80_moderate_blur,moderate_blur,1,60,dining table,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video2/v02_20-18_f00264_t08.80_moderate_blur,moderate_blur,2,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video2/v02_20-18_f00340_t11.33_clear,clear,0,56,chair,False,,False,,False,,False,,False,,True,0.5495,False,,False,,True,1,clahe,clahe
yolov8n.pt,0.15,1,video2/v02_20-18_f00340_t11.33_clear,clear,1,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video2/v02_20-18_f00340_t11.33_clear,clear,2,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video2/v02_20-18_f00340_t11.33_clear,clear,3,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video2/v02_20-18_f00340_t11.33_clear,clear,4,60,dining table,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video2/v02_20-18_f00453_t15.10_severe_blur,severe_blur,0,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video2/v02_20-18_f00453_t15.10_severe_blur,severe_blur,1,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video2/v02_20-18_f00453_t15.10_severe_blur,severe_blur,2,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video2/v02_20-18_f00453_t15.10_severe_blur,severe_blur,3,60,dining table,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video2/v02_20-18_f00567_t18.90_moderate_blur,moderate_blur,0,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video2/v02_20-18_f00567_t18.90_moderate_blur,moderate_blur,1,56,chair,True,0.2307,False,,False,,False,,False,,True,0.3875,False,,False,,True,2,raw|clahe,
yolov8n.pt,0.15,1,video2/v02_20-18_f00567_t18.90_moderate_blur,moderate_blur,2,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video2/v02_20-18_f00567_t18.90_moderate_blur,moderate_blur,3,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video2/v02_20-18_f00567_t18.90_moderate_blur,moderate_blur,4,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video2/v02_20-18_f00567_t18.90_moderate_blur,moderate_blur,5,60,dining table,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video2/v02_20-18_f00567_t18.90_moderate_blur,moderate_blur,6,60,dining table,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video2/v02_20-18_f00680_t22.67_severe_blur,severe_blur,0,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video2/v02_20-18_f00680_t22.67_severe_blur,severe_blur,1,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video2/v02_20-18_f00680_t22.67_severe_blur,severe_blur,2,60,dining table,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video2/v02_20-18_f00680_t22.67_severe_blur,severe_blur,3,60,dining table,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video2/v02_20-18_f00718_t23.93_clear,clear,0,56,chair,False,,True,0.1721,False,,True,0.2084,False,,True,0.4062,False,,False,,True,3,gaussian|wiener_denoise|clahe,
yolov8n.pt,0.15,1,video2/v02_20-18_f00718_t23.93_clear,clear,1,56,chair,False,,False,,False,,False,,False,,True,0.2971,False,,False,,True,1,clahe,clahe
yolov8n.pt,0.15,1,video2/v02_20-18_f00794_t26.47_moderate_blur,moderate_blur,0,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video2/v02_20-18_f00794_t26.47_moderate_blur,moderate_blur,1,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video2/v02_20-18_f00794_t26.47_moderate_blur,moderate_blur,2,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video2/v02_20-18_f00794_t26.47_moderate_blur,moderate_blur,3,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
