model,confidence_threshold,frame_id,video,quality_group,method,class_id,n_gt,raw_detected,raw_tp_count,raw_confidence,method_detected,method_tp_count,method_confidence,outcome
yolov8n.pt,0.15,video2/v02_20-18_f00794_t26.47_moderate_blur,video2,moderate_blur,temporal_quality_weighted,56,4,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00000_t00.00_clear,video3,clear,temporal_fixed,0,6,True,2,0.8202,True,1,0.7586,lost
yolov8n.pt,0.15,video3/v03_20-20_f00000_t00.00_clear,video3,clear,temporal_fixed,24,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00000_t00.00_clear,video3,clear,temporal_fixed,56,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00000_t00.00_clear,video3,clear,temporal_fixed,39,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00000_t00.00_clear,video3,clear,temporal_quality_weighted,0,6,True,2,0.8202,True,1,0.7313,lost
yolov8n.pt,0.15,video3/v03_20-20_f00000_t00.00_clear,video3,clear,temporal_quality_weighted,24,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00000_t00.00_clear,video3,clear,temporal_quality_weighted,56,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00000_t00.00_clear,video3,clear,temporal_quality_weighted,39,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00016_t00.53_clear,video3,clear,temporal_fixed,56,6,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00016_t00.53_clear,video3,clear,temporal_fixed,39,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00016_t00.53_clear,video3,clear,temporal_quality_weighted,56,6,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00016_t00.53_clear,video3,clear,temporal_quality_weighted,39,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00048_t01.60_moderate_blur,video3,moderate_blur,temporal_fixed,24,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00048_t01.60_moderate_blur,video3,moderate_blur,temporal_fixed,0,2,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00048_t01.60_moderate_blur,video3,moderate_blur,temporal_fixed,56,2,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00048_t01.60_moderate_blur,video3,moderate_blur,temporal_fixed,39,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00048_t01.60_moderate_blur,video3,moderate_blur,temporal_quality_weighted,24,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00048_t01.60_moderate_blur,video3,moderate_blur,temporal_quality_weighted,0,2,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00048_t01.60_moderate_blur,video3,moderate_blur,temporal_quality_weighted,56,2,False,0,,False,0,,still_missed
