video,frame,filter,n_detections,mean_confidence,preprocess_ms,yolo_ms,total_ms,annotated
video3,v03_20-20_f00016_t00.53_clear.png,raw,1,0.2555,0.0,21.336,21.336,True
video3,v03_20-20_f00016_t00.53_clear.png,gaussian,2,0.1958,0.603,17.045,17.649,True
video3,v03_20-20_f00016_t00.53_clear.png,bilateral,2,0.2052,9.696,24.274,33.97,True
video3,v03_20-20_f00016_t00.53_clear.png,wiener_denoise,3,0.2097,61.146,19.697,80.843,True
video3,v03_20-20_f00016_t00.53_clear.png,wiener_deconv,0,0.0,72.558,24.501,97.059,True
video3,v03_20-20_f00016_t00.53_clear.png,clahe,0,0.0,3.126,16.338,19.464,True
video3,v03_20-20_f00048_t01.60_moderate_blur.png,raw,1,0.1939,0.002,38.579,38.581,True
video3,v03_20-20_f00048_t01.60_moderate_blur.png,gaussian,0,0.0,0.797,20.01,20.807,True
video3,v03_20-20_f00048_t01.60_moderate_blur.png,bilateral,0,0.0,12.846,20.943,33.789,True
video3,v03_20-20_f00048_t01.60_moderate_blur.png,wiener_denoise,0,0.0,56.731,25.582,82.313,True
video3,v03_20-20_f00048_t01.60_moderate_blur.png,wiener_deconv,0,0.0,62.365,27.265,89.629,True
video3,v03_20-20_f00048_t01.60_moderate_blur.png,clahe,0,0.0,4.405,14.919,19.325,True
video3,v03_20-20_f00064_t02.13_clear.png,raw,1,0.3142,0.0,17.38,17.38,True
video3,v03_20-20_f00064_t02.13_clear.png,gaussian,3,0.2073,1.895,17.967,19.862,True
video3,v03_20-20_f00064_t02.13_clear.png,bilateral,2,0.2121,11.963,18.611,30.574,True
video3,v03_20-20_f00064_t02.13_clear.png,wiener_denoise,1,0.1517,52.248,26.979,79.227,True
video3,v03_20-20_f00064_t02.13_clear.png,wiener_deconv,0,0.0,63.593,25.141,88.734,True
video3,v03_20-20_f00064_t02.13_clear.png,clahe,0,0.0,3.217,18.157,21.374,True
video3,v03_20-20_f00080_t02.67_moderate_blur.png,raw,0,0.0,0.0,67.787,67.787,True
video3,v03_20-20_f00080_t02.67_moderate_blur.png,gaussian,0,0.0,0.61,14.706,15.317,True
video3,v03_20-20_f00080_t02.67_moderate_blur.png,bilateral,0,0.0,11.188,16.954,28.142,True
video3,v03_20-20_f00080_t02.67_moderate_blur.png,wiener_denoise,0,0.0,54.509,27.394,81.903,True
