frame_id,video,quality_group,method,class_id,n_gt,raw_detected,raw_tp_count,raw_confidence,method_detected,method_tp_count,method_confidence,outcome
video3/v03_20-20_f00016_t00.53_clear,video3,clear,temporal_fixed,56,6,True,1,0.2555,False,0,,lost
video3/v03_20-20_f00016_t00.53_clear,video3,clear,temporal_fixed,39,1,False,0,,False,0,,still_missed
video3/v03_20-20_f00016_t00.53_clear,video3,clear,temporal_quality_weighted,56,6,True,1,0.2555,False,0,,lost
video3/v03_20-20_f00016_t00.53_clear,video3,clear,temporal_quality_weighted,39,1,False,0,,False,0,,still_missed
video3/v03_20-20_f00048_t01.60_moderate_blur,video3,moderate_blur,temporal_fixed,24,1,False,0,,False,0,,still_missed
video3/v03_20-20_f00048_t01.60_moderate_blur,video3,moderate_blur,temporal_fixed,0,2,False,0,,False,0,,still_missed
video3/v03_20-20_f00048_t01.60_moderate_blur,video3,moderate_blur,temporal_fixed,56,2,False,0,,False,0,,still_missed
video3/v03_20-20_f00048_t01.60_moderate_blur,video3,moderate_blur,temporal_fixed,39,1,False,0,,False,0,,still_missed
video3/v03_20-20_f00048_t01.60_moderate_blur,video3,moderate_blur,temporal_quality_weighted,24,1,False,0,,False,0,,still_missed
video3/v03_20-20_f00048_t01.60_moderate_blur,video3,moderate_blur,temporal_quality_weighted,0,2,False,0,,False,0,,still_missed
video3/v03_20-20_f00048_t01.60_moderate_blur,video3,moderate_blur,temporal_quality_weighted,56,2,False,0,,False,0,,still_missed
video3/v03_20-20_f00048_t01.60_moderate_blur,video3,moderate_blur,temporal_quality_weighted,39,1,False,0,,False,0,,still_missed
video3/v03_20-20_f00064_t02.13_clear,video3,clear,temporal_fixed,24,1,True,1,0.3142,True,1,0.345,no_change
video3/v03_20-20_f00064_t02.13_clear,video3,clear,temporal_fixed,0,2,False,0,,True,1,0.1729,rescued
video3/v03_20-20_f00064_t02.13_clear,video3,clear,temporal_fixed,56,3,False,0,,False,0,,still_missed
video3/v03_20-20_f00064_t02.13_clear,video3,clear,temporal_fixed,60,1,False,0,,False,0,,still_missed
video3/v03_20-20_f00064_t02.13_clear,video3,clear,temporal_quality_weighted,24,1,True,1,0.3142,True,1,0.2857,no_change
video3/v03_20-20_f00064_t02.13_clear,video3,clear,temporal_quality_weighted,0,2,False,0,,False,0,,still_missed
video3/v03_20-20_f00064_t02.13_clear,video3,clear,temporal_quality_weighted,56,3,False,0,,False,0,,still_missed
video3/v03_20-20_f00064_t02.13_clear,video3,clear,temporal_quality_weighted,60,1,False,0,,False,0,,still_missed
video3/v03_20-20_f00080_t02.67_moderate_blur,video3,moderate_blur,temporal_fixed,24,1,False,0,,False,0,,still_missed
video3/v03_20-20_f00080_t02.67_moderate_blur,video3,moderate_blur,temporal_fixed,0,2,False,0,,False,0,,still_missed
video3/v03_20-20_f00080_t02.67_moderate_blur,video3,moderate_blur,temporal_fixed,56,2,False,0,,False,0,,still_missed
video3/v03_20-20_f00080_t02.67_moderate_blur,video3,moderate_blur,temporal_fixed,60,1,False,0,,False,0,,still_missed
video3/v03_20-20_f00080_t02.67_moderate_blur,video3,moderate_blur,temporal_quality_weighted,24,1,False,0,,False,0,,still_missed
video3/v03_20-20_f00080_t02.67_moderate_blur,video3,moderate_blur,temporal_quality_weighted,0,2,False,0,,False,0,,still_missed
video3/v03_20-20_f00080_t02.67_moderate_blur,video3,moderate_blur,temporal_quality_weighted,56,2,False,0,,False,0,,still_missed
video3/v03_20-20_f00080_t02.67_moderate_blur,video3,moderate_blur,temporal_quality_weighted,60,1,False,0,,False,0,,still_missed
video3/v03_20-20_f00097_t03.23_clear,video3,clear,temporal_fixed,0,3,True,3,0.788,True,1,0.7734,lost
video3/v03_20-20_f00097_t03.23_clear,video3,clear,temporal_fixed,24,1,True,1,0.6589,True,1,0.5797,confidence_degraded
video3/v03_20-20_f00097_t03.23_clear,video3,clear,temporal_fixed,56,1,True,1,0.6391,True,1,0.6027,no_change
video3/v03_20-20_f00097_t03.23_clear,video3,clear,temporal_fixed,39,1,False,0,,False,0,,still_missed
video3/v03_20-20_f00097_t03.23_clear,video3,clear,temporal_quality_weighted,0,3,True,3,0.788,True,1,0.7421,lost
video3/v03_20-20_f00097_t03.23_clear,video3,clear,temporal_quality_weighted,24,1,True,1,0.6589,True,1,0.5526,confidence_degraded
video3/v03_20-20_f00097_t03.23_clear,video3,clear,temporal_quality_weighted,56,1,True,1,0.6391,True,1,0.5921,no_change
video3/v03_20-20_f00097_t03.23_clear,video3,clear,temporal_quality_weighted,39,1,False,0,,False,0,,still_missed
video3/v03_20-20_f00113_t03.77_severe_blur,video3,severe_blur,temporal_fixed,0,2,False,0,,False,0,,still_missed
video3/v03_20-20_f00113_t03.77_severe_blur,video3,severe_blur,temporal_fixed,24,1,False,0,,False,0,,still_missed
video3/v03_20-20_f00113_t03.77_severe_blur,video3,severe_blur,temporal_fixed,56,2,False,0,,False,0,,still_missed
video3/v03_20-20_f00113_t03.77_severe_blur,video3,severe_blur,temporal_fixed,39,1,False,0,,False,0,,still_missed
video3/v03_20-20_f00113_t03.77_severe_blur,video3,severe_blur,temporal_quality_weighted,0,2,False,0,,False,0,,still_missed
video3/v03_20-20_f00113_t03.77_severe_blur,video3,severe_blur,temporal_quality_weighted,24,1,False,0,,False,0,,still_missed
video3/v03_20-20_f00113_t03.77_severe_blur,video3,severe_blur,temporal_quality_weighted,56,2,False,0,,False,0,,still_missed
video3/v03_20-20_f00113_t03.77_severe_blur,video3,severe_blur,temporal_quality_weighted,39,1,False,0,,False,0,,still_missed
video3/v03_20-20_f00145_t04.83_moderate_blur,video3,moderate_blur,temporal_fixed,0,2,False,0,,False,0,,still_missed
video3/v03_20-20_f00145_t04.83_moderate_blur,video3,moderate_blur,temporal_fixed,24,1,False,0,,False,0,,still_missed
video3/v03_20-20_f00145_t04.83_moderate_blur,video3,moderate_blur,temporal_fixed,56,2,False,0,,False,0,,still_missed
video3/v03_20-20_f00145_t04.83_moderate_blur,video3,moderate_blur,temporal_quality_weighted,0,2,False,0,,False,0,,still_missed
video3/v03_20-20_f00145_t04.83_moderate_blur,video3,moderate_blur,temporal_quality_weighted,24,1,False,0,,False,0,,still_missed
video3/v03_20-20_f00145_t04.83_moderate_blur,video3,moderate_blur,temporal_quality_weighted,56,2,False,0,,False,0,,still_missed
video3/v03_20-20_f00161_t05.37_moderate_blur,video3,moderate_blur,temporal_fixed,24,1,True,1,0.3725,False,0,,lost
video3/v03_20-20_f00161_t05.37_moderate_blur,video3,moderate_blur,temporal_fixed,56,1,False,0,,False,0,,still_missed
video3/v03_20-20_f00161_t05.37_moderate_blur,video3,moderate_blur,temporal_fixed,60,1,False,0,,False,0,,still_missed
video3/v03_20-20_f00161_t05.37_moderate_blur,video3,moderate_blur,temporal_quality_weighted,24,1,True,1,0.3725,False,0,,lost
video3/v03_20-20_f00161_t05.37_moderate_blur,video3,moderate_blur,temporal_quality_weighted,56,1,False,0,,False,0,,still_missed
video3/v03_20-20_f00161_t05.37_moderate_blur,video3,moderate_blur,temporal_quality_weighted,60,1,False,0,,False,0,,still_missed
video3/v03_20-20_f00177_t05.90_moderate_blur,video3,moderate_blur,temporal_fixed,0,2,True,1,0.3102,False,0,,lost
video3/v03_20-20_f00177_t05.90_moderate_blur,video3,moderate_blur,temporal_fixed,56,1,False,0,,False,0,,still_missed
video3/v03_20-20_f00177_t05.90_moderate_blur,video3,moderate_blur,temporal_quality_weighted,0,2,True,1,0.3102,False,0,,lost
video3/v03_20-20_f00177_t05.90_moderate_blur,video3,moderate_blur,temporal_quality_weighted,56,1,False,0,,False,0,,still_missed
video3/v03_20-20_f00210_t07.00_severe_blur,video3,severe_blur,temporal_fixed,0,1,False,0,,False,0,,still_missed
video3/v03_20-20_f00210_t07.00_severe_blur,video3,severe_blur,temporal_fixed,56,3,False,0,,False,0,,still_missed
video3/v03_20-20_f00210_t07.00_severe_blur,video3,severe_blur,temporal_fixed,60,1,False,0,,False,0,,still_missed
video3/v03_20-20_f00210_t07.00_severe_blur,video3,severe_blur,temporal_quality_weighted,0,1,False,0,,False,0,,still_missed
video3/v03_20-20_f00210_t07.00_severe_blur,video3,severe_blur,temporal_quality_weighted,56,3,False,0,,False,0,,still_missed
video3/v03_20-20_f00210_t07.00_severe_blur,video3,severe_blur,temporal_quality_weighted,60,1,False,0,,False,0,,still_missed
video3/v03_20-20_f00242_t08.07_severe_blur,video3,severe_blur,temporal_fixed,24,1,True,1,0.1515,False,0,,lost
video3/v03_20-20_f00242_t08.07_severe_blur,video3,severe_blur,temporal_quality_weighted,24,1,True,1,0.1515,False,0,,lost
video4/v04_20-21_f00000_t00.00_clear,video4,clear,temporal_fixed,0,2,True,2,0.9064,True,2,0.9087,no_change
video4/v04_20-21_f00000_t00.00_clear,video4,clear,temporal_fixed,24,1,True,1,0.2496,True,1,0.3861,confidence_improved
video4/v04_20-21_f00000_t00.00_clear,video4,clear,temporal_fixed,56,4,True,4,0.4822,True,4,0.5263,no_change
video4/v04_20-21_f00000_t00.00_clear,video4,clear,temporal_fixed,39,1,True,1,0.3823,True,1,0.4575,confidence_improved
video4/v04_20-21_f00000_t00.00_clear,video4,clear,temporal_quality_weighted,0,2,True,2,0.9064,True,2,0.9085,no_change
video4/v04_20-21_f00000_t00.00_clear,video4,clear,temporal_quality_weighted,24,1,True,1,0.2496,True,1,0.4315,confidence_improved
video4/v04_20-21_f00000_t00.00_clear,video4,clear,temporal_quality_weighted,56,4,True,4,0.4822,True,4,0.542,confidence_improved
video4/v04_20-21_f00000_t00.00_clear,video4,clear,temporal_quality_weighted,39,1,True,1,0.3823,True,1,0.5132,confidence_improved
video4/v04_20-21_f00038_t01.27_clear,video4,clear,temporal_fixed,0,2,True,1,0.8876,True,2,0.8747,rescued
video4/v04_20-21_f00038_t01.27_clear,video4,clear,temporal_fixed,24,2,True,2,0.384,True,1,0.2105,lost
video4/v04_20-21_f00038_t01.27_clear,video4,clear,temporal_fixed,56,3,False,0,,False,0,,still_missed
video4/v04_20-21_f00038_t01.27_clear,video4,clear,temporal_fixed,39,1,True,1,0.2586,True,1,0.3405,confidence_improved
video4/v04_20-21_f00038_t01.27_clear,video4,clear,temporal_quality_weighted,0,2,True,1,0.8876,True,2,0.8643,rescued
video4/v04_20-21_f00038_t01.27_clear,video4,clear,temporal_quality_weighted,24,2,True,2,0.384,True,1,0.1612,lost
video4/v04_20-21_f00038_t01.27_clear,video4,clear,temporal_quality_weighted,56,3,False,0,,False,0,,still_missed
video4/v04_20-21_f00038_t01.27_clear,video4,clear,temporal_quality_weighted,39,1,True,1,0.2586,True,1,0.3389,confidence_improved
video4/v04_20-21_f00076_t02.53_clear,video4,clear,temporal_fixed,0,2,True,2,0.8691,True,2,0.8724,no_change
video4/v04_20-21_f00076_t02.53_clear,video4,clear,temporal_fixed,24,1,True,1,0.3397,True,1,0.287,confidence_degraded
video4/v04_20-21_f00076_t02.53_clear,video4,clear,temporal_fixed,56,7,True,3,0.5363,True,3,0.4932,no_change
video4/v04_20-21_f00076_t02.53_clear,video4,clear,temporal_quality_weighted,0,2,True,2,0.8691,True,2,0.8771,no_change
video4/v04_20-21_f00076_t02.53_clear,video4,clear,temporal_quality_weighted,24,1,True,1,0.3397,True,1,0.2897,no_change
video4/v04_20-21_f00076_t02.53_clear,video4,clear,temporal_quality_weighted,56,7,True,3,0.5363,True,3,0.5039,no_change
video4/v04_20-21_f00114_t03.80_moderate_blur,video4,moderate_blur,temporal_fixed,0,3,True,1,0.8773,True,1,0.8791,no_change
video4/v04_20-21_f00114_t03.80_moderate_blur,video4,moderate_blur,temporal_fixed,16,1,True,1,0.3862,True,1,0.3225,confidence_degraded
video4/v04_20-21_f00114_t03.80_moderate_blur,video4,moderate_blur,temporal_fixed,56,3,True,2,0.6716,True,3,0.6535,rescued
video4/v04_20-21_f00114_t03.80_moderate_blur,video4,moderate_blur,temporal_fixed,24,1,True,1,0.2254,True,1,0.1961,no_change
video4/v04_20-21_f00114_t03.80_moderate_blur,video4,moderate_blur,temporal_quality_weighted,0,3,True,1,0.8773,True,1,0.8785,no_change
video4/v04_20-21_f00114_t03.80_moderate_blur,video4,moderate_blur,temporal_quality_weighted,16,1,True,1,0.3862,True,1,0.2989,confidence_degraded
video4/v04_20-21_f00114_t03.80_moderate_blur,video4,moderate_blur,temporal_quality_weighted,56,3,True,2,0.6716,True,3,0.656,rescued
video4/v04_20-21_f00114_t03.80_moderate_blur,video4,moderate_blur,temporal_quality_weighted,24,1,True,1,0.2254,True,1,0.1788,no_change
video4/v04_20-21_f00152_t05.07_moderate_blur,video4,moderate_blur,temporal_fixed,0,1,True,1,0.6789,False,0,,lost
video4/v04_20-21_f00152_t05.07_moderate_blur,video4,moderate_blur,temporal_fixed,24,1,False,0,,False,0,,still_missed
video4/v04_20-21_f00152_t05.07_moderate_blur,video4,moderate_blur,temporal_fixed,56,3,False,0,,False,0,,still_missed
video4/v04_20-21_f00152_t05.07_moderate_blur,video4,moderate_blur,temporal_fixed,39,1,False,0,,False,0,,still_missed
video4/v04_20-21_f00152_t05.07_moderate_blur,video4,moderate_blur,temporal_quality_weighted,0,1,True,1,0.6789,False,0,,lost
video4/v04_20-21_f00152_t05.07_moderate_blur,video4,moderate_blur,temporal_quality_weighted,24,1,False,0,,False,0,,still_missed
video4/v04_20-21_f00152_t05.07_moderate_blur,video4,moderate_blur,temporal_quality_weighted,56,3,False,0,,False,0,,still_missed
video4/v04_20-21_f00152_t05.07_moderate_blur,video4,moderate_blur,temporal_quality_weighted,39,1,False,0,,False,0,,still_missed
video4/v04_20-21_f00190_t06.33_moderate_blur,video4,moderate_blur,temporal_fixed,0,2,False,0,,False,0,,still_missed
video4/v04_20-21_f00190_t06.33_moderate_blur,video4,moderate_blur,temporal_fixed,56,1,False,0,,False,0,,still_missed
video4/v04_20-21_f00190_t06.33_moderate_blur,video4,moderate_blur,temporal_quality_weighted,0,2,False,0,,False,0,,still_missed
video4/v04_20-21_f00190_t06.33_moderate_blur,video4,moderate_blur,temporal_quality_weighted,56,1,False,0,,False,0,,still_missed
video4/v04_20-21_f00228_t07.60_severe_blur,video4,severe_blur,temporal_fixed,0,3,False,0,,False,0,,still_missed
video4/v04_20-21_f00228_t07.60_severe_blur,video4,severe_blur,temporal_fixed,24,1,False,0,,False,0,,still_missed
video4/v04_20-21_f00228_t07.60_severe_blur,video4,severe_blur,temporal_quality_weighted,0,3,False,0,,False,0,,still_missed
video4/v04_20-21_f00228_t07.60_severe_blur,video4,severe_blur,temporal_quality_weighted,24,1,False,0,,False,0,,still_missed
video4/v04_20-21_f00266_t08.87_clear,video4,clear,temporal_fixed,0,1,True,1,0.7919,True,1,0.4027,confidence_degraded
video4/v04_20-21_f00266_t08.87_clear,video4,clear,temporal_fixed,24,1,False,0,,False,0,,still_missed
video4/v04_20-21_f00266_t08.87_clear,video4,clear,temporal_fixed,56,2,True,1,0.3636,False,0,,lost
video4/v04_20-21_f00266_t08.87_clear,video4,clear,temporal_fixed,39,1,True,1,0.1555,False,0,,lost
video4/v04_20-21_f00266_t08.87_clear,video4,clear,temporal_quality_weighted,0,1,True,1,0.7919,True,1,0.2474,confidence_degraded
video4/v04_20-21_f00266_t08.87_clear,video4,clear,temporal_quality_weighted,24,1,False,0,,False,0,,still_missed
video4/v04_20-21_f00266_t08.87_clear,video4,clear,temporal_quality_weighted,56,2,True,1,0.3636,False,0,,lost
video4/v04_20-21_f00266_t08.87_clear,video4,clear,temporal_quality_weighted,39,1,True,1,0.1555,False,0,,lost
video4/v04_20-21_f00304_t10.13_severe_blur,video4,severe_blur,temporal_fixed,24,1,False,0,,False,0,,still_missed
video4/v04_20-21_f00304_t10.13_severe_blur,video4,severe_blur,temporal_fixed,0,1,False,0,,False,0,,still_missed
video4/v04_20-21_f00304_t10.13_severe_blur,video4,severe_blur,temporal_fixed,56,2,False,0,,False,0,,still_missed
video4/v04_20-21_f00304_t10.13_severe_blur,video4,severe_blur,temporal_fixed,60,1,False,0,,False,0,,still_missed
video4/v04_20-21_f00304_t10.13_severe_blur,video4,severe_blur,temporal_quality_weighted,24,1,False,0,,False,0,,still_missed
video4/v04_20-21_f00304_t10.13_severe_blur,video4,severe_blur,temporal_quality_weighted,0,1,False,0,,False,0,,still_missed
video4/v04_20-21_f00304_t10.13_severe_blur,video4,severe_blur,temporal_quality_weighted,56,2,False,0,,False,0,,still_missed
video4/v04_20-21_f00304_t10.13_severe_blur,video4,severe_blur,temporal_quality_weighted,60,1,False,0,,False,0,,still_missed
video4/v04_20-21_f00342_t11.40_severe_blur,video4,severe_blur,temporal_fixed,0,3,True,2,0.6693,True,1,0.213,lost
